,Показатели,Уточненный план,Исполнение,Ссылка_на_контракт
1,              Реконструкция ВПС - 9,340359390.0,0.0,Нет
4,"              Реконструкция водопроводных сетей мкр. Подгорное Д-1000 мм, L=5000 м.п.",0.0,0.0,Нет
5,"              Реконструкция канализационного железобетонного коллектора (Д-900 мм, L=422,6 м.п.; Д-1200 мм, L=1586 м.п.; Д-1500 мм, L=2382 м.п. в районе ул. Суворова, д. 65 - Ленинский проспект, 95б (ТЦ ""Европа"")",0.0,0.0,Нет
6,              Реконструкция магистральных водоводов от ВПС-9,0.0,0.0,Нет
8,              Строительство новой Главной канализационной насосной станции (1 этап),0.0,0.0,Нет
9,              Строительство новой Главной канализационной насосной станции (2 этап линейная часть),0.0,0.0,Нет
11,"              ""Напорная канализация по адресу: Воронежская область, г. Поворино, мкр. ""Хлебная база""(ПИР)",3309700.0,0.0,Нет
22,"              ""Перебуривание скважины в посёлке Грушевая Поляна Острогожского муниципального района Воронежской области""",6875900.0,0.0,Нет
32,"              ""Перебуривание эксплуатационной скважины №1013, интегрированной в систему водоснабжения, село Синие Липяги Нижнедевицкого муниципального района Воронежской области""",8920500.0,0.0,Нет
37,"              ""Реконструкция очистных сооружений канализации с реконструкцией ГКНС и напорного коллектора в г. Богучар Богучарского муниципального района Воронежской области"" (ПИР)",14926300.0,0.0,Нет
57,"              Перебуривание эксплуатационной артезианской скважины, расположенной по адресу: ул. Захарченко в с. Евдаково Евдаковского сельского поселения Каменского муниципального района Воронежской области",4581400.0,4385457.81,Нет
58,              Перебуривание эксплуатационной скважины № 1 код по ГВК 20202852 для водоснабжения сельского поселения Русская Гвоздёвка Рамонского муниципального района Воронежской области,3859000.0,0.0,Нет
60,"              Реконструкция водозаборных сооружений №2 (""воинского"" водозабора на ул.Совхозная) с установкой системы очистки, перебуриванием скважин, установкой резервуара чистой воды (РЧВ), насосной станции 2-го подъёма, канализационной насосной станции (КНС) с подключением к централизованной системе водоотведения и реконструкция магистральных разводящих сетей водоснабжения г.Бутурлиновка, Бутурлиновского муниципального района Воронежской области (включая ПИР)",38552900.0,0.0,Нет
61,"              Реконструкция сетей водоснабжения, водозаборных сооружений с установкой систем очистки в р.п. Рамонь, Рамонского городского поселения, Рамонского муниципального района Воронежской области (ПИР)",12740000.0,0.0,Нет
62,              Реконструкция системы водоснабжения в г. Семилуки с устройством станции очистки (ПИР),8515300.0,0.0,Нет
67,              Строительство водопроводных сетей на 14 улицах в г. Бутурлиновка Бутурлиновского района Воронежской области (включая ПИР),9930100.0,0.0,Нет
68,              Строительство главной канализационной насосной станции (ГКНС) в г.Воронеже (площадной объект),109200000.0,0.0,Нет
69,"              Строительство коллектора водоотведения от мкр. ""Южный"" в с. Новая Усмань, с. Александровка, п. Отрадное, Новоусманского муниципального района Воронежской области",0.0,0.0,Нет
70,"              Строительство очистных сооружений хозяйственно-бытовых стоков на 2900 м3/сут, КНС №8, сетей водоотведения и реконструкции ГКНС №10 в Рамонском городском поселении Рамонского муниципального района Воронежской области (ПИР)",13832000.0,0.0,Нет
72,              Строительство скважины для хозяйственно- питьевого водоснабжения с. Верхний Бык Воробьевского района Воронежской области,4728400.0,0.0,Нет
75,              Строительство полигона ТКО и мусоросортировочного комплекса в Бобровском муниципальном районе Воронежской области (включая ПИР),1100000.0,0.0,Нет
76,              Строительство полигона ТКО на территории Россошанского муниципального района Воронежской области (включая ПИР),1100000.0,0.0,Нет
77,"              ""Строительство сетей, инженерных сооружений водоснабжения и водоотведения в целях реализации инвестиционного проекта по строительству туристического культурно-развлекательного и спортивного комплекса ""ЯМАНЬ SPA RESORT"" площадью 18,7 га"" (1-й этап 1-я очередь работ)",17224489.8,8702467.15,Нет
84,"              ""Технологическое присоединение объекта капитального строительства ""Реконструкция котельной по ул. Туполева, 31к с реконструкцией инженерных сетей и переключение на нее системы теплоснабжения жилого квартала, ограниченного улицами Волгоградская, Туполева, Баррикадная в г. Воронеже""",162889300.0,0.0,Нет
85,"              Блочно-модульная котельная (БМК) для теплоснабжения жилых домов по ул. БСХК № 1, №1а, № 2, кв. 1, кв. 2, кв. 3, здания общежития и главного учебного корпуса ГБПОУ ВО ""ВТППП"" по ул. БСХК, № 2а и ул. БСХК, № 1/1, с. Березово, Рамонский муниципальный район, Воронежская область (включая ПИР)",3105800.0,0.0,Нет
91,"              Строительство газовой блочной котельной (перевод на газообразное топливо), ул. Мира, 38 А, с. Кривоносово Россошанского муниципального района Воронежской области (включая ПИР)",2667600.0,0.0,Нет
92,"              Строительство газовой блочной котельной, ул. Мира, г. Богучар Богучарского муниципального района Воронежской области (ПИР)",2722000.0,0.0,Нет
