Реестровый номер закупки,Наименование закупки,Идентификационный код закупки,Начальная (максимальная) цена контракта
№0119300024625000063,Папка пластиковая,'253245800397724580100100910220000244',4672.0
№0119300024625000062,Файл-вкладыш,'253245800397724580100100910230000244',33600.0
№0352200045825000079,Поставка товара хозяйственного назначения (4) (Реестровый номер 2025.059712),'252550422716955040100100510060000244',13852.3
№0351200001825000362,Поставка лекарственного препарата для медицинского применения МНН: Карбоплатин (№3879),'252540412116954040100105050012120244',84270.0
№0351200001825000359,Поставка лекарственного препарата для медицинского применения МНН: ИМАТИНИБ (№3734),'252540412116954040100105020012120244',513153.9
№0351200001825000360,Поставка лекарственного препарата для медицинского применения МНН: РЕГОРАФЕНИБ (№3891),'252540412116954040100105180012120244',1693923.84
№0351200001825000363,Поставка лекарственного препарата для медицинского применения МНН: Карбоплатин (№3881),'252540412116954040100105070012120244',2028500.0
№0119300024625000061,Дырокол,'253245800397724580100100910210000244',8383.23
№0351200001825000386,Поставка лекарственного препарата для медицинского применения МНН: ФТОРУРАЦИЛ (№3875.1),'252540412116954040100105520012120244',2373360.0
№1056500000525000007,Поставка бумаги для офисной техники,'252810700755781070100100200010000244',29999.9
№0351200001825000385,Поставка лекарственного препарата для медицинского применения МНН: ФТОРУРАЦИЛ (№3874.1),'252540412116954040100105510012120244',2366540.0
№0351200001825000384,Поставка лекарственного препарата для медицинского применения МНН: ПЕМБРОЛИЗУМАБ (№3876.1),'252540412116954040100105530012120244',2904000.0
№0351200001825000383,Поставка лекарственного препарата для медицинского применения МНН: ДУРВАЛУМАБ (№3873.1),'252540412116954040100105540012120244',2952125.0
№0343200010725000521,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491160000244',768000.0
№0351300079625000091,"Оказание услуг по ликвидации мест несанкционированного размещения отходов в Заельцовском, Железнодорожном и Центральном районах Центрального округа города Новосибирска в 2025 году.",'253540618649054060100101240013811244',2768330.0
№0343200010725000520,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491150000244',432000.0
№0343200010725000519,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491140000244',45540.0
№32515211015,Поставка продуктов питания (овощи и фрукты),,1136207.4
№0343200010725000518,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491130000244',45540.0
№0362400002725000001,Поставка метрологического оборудования,'251771618221066854300100090022651244',2473662.14
№0362400002725000002,Поставка метрологического оборудования,'251771618221066854300100090012651244',3999556.73
№0848600081325000338,Оказание услуг по очистке территории от захламления,'253505001074050500100103630018129244',5000000.0
№0142300038325000080,Поставка мебели для оснащения ГБОУ ООШ пос. Верхняя Подстепновка муниципального района Волжский Самарской области,'253633005007163300100100410020000244',161239.12
№32515211007,"Изготовление и поставка пляжного оборудования и конструкций для благоустройства территории городского пляжа ""Семейкин остров""",,2659000.0
№0343200010725000517,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491120000244',493968.0
№0343200010725000516,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491110000244',164656.0
№0362300012025000161,Карбетоцин,'253666005552966700100102420022120244',995144.8
№0348100099025000047,"капитальный ремонт объектов ФГБУ СП ""Курорт-парк ""Союз"" МИД России",'251505011531050500100100010354339243',2764595.81
№0348100099025000048,"капитальный ремонт объектов ФГБУ СП ""Курорт-парк ""Союз"" МИД России",'251505011531050500100100010344339243',9985721.09
№0348300139625000327,Лекарственные препараты для медицинского применения (ЭПОЭТИН АЛЬФА) на основании протокола решения врачебной комиссии медицинской организации,'253501003629150100100104590012120244',453526.7
№0851600009625000246,Приобретение нежилого административного здания для Муниципального казенного учреждения культуры «Культурно-досуговое объединение Краснозерского района Новосибирской области»,'253542710492454270100100170014120412',4000000.0
№32515211012,Поставка офисной бумаги,,17240.0
№32515206843,Выполнение работ по окраске газопроводов,,600000.0
№32515211011,Оказание услуг по техническому обслуживанию и ремонту охранно-тревожной сигнализации и системы контроля управления доступом на объектах МАУК ЦКС ГДК,,28513.8
№32515211009,Поставка хозяйственных товаров,,204399.87
№0321200028925000222,Поставка лекарственных препаратов (6 наименований),'252263300244026350100100450560000244',783428.0
№0348300139625000326,Лекарственные препараты для медицинского применения (Лот 14) на второе полугодие 2025 г.,'253501003629150100100104540010000244',998545.9
№0135100003425000052,Поставка беспроводной системы вызова помощника для нужд Арбитражного суда Калининградской области,'251390601310039060100100570012790244',19451.33
№32515211008,Оказание услуг по техническому обслуживанию и ремонту систем видеонаблюдения на объектах МАУК ЦКС,,21938.55
№32515211014,"Выполнение работ по текущему ремонту большого спортивного зала и балкона в рамках текущего ремонта Дворца спорта «Лидер» по адресу: г. Владимир, ул. Дворянская д 16А",,18294048.65
№0372100008125000165,"Оказание услуг по организации Всероссийской научно-практической конференции с международным участием ""Экспериментальная медицина""",'251781304578778130100100730018230244',3400000.0
№0343200010725000515,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491100000244',87843.0
№32515210992,Поставка товара,,195850.0
№32515210991,Оказание охранных услуг,,437184.0
№32515211006,"Оказание услуг по техническому обслуживанию и аварийному ремонту автоматической пожарной сигнализации и системы оповещения и управления эвакуацией при пожаре (АПС, СОУЭ и АПЗ) на объектах МАУК ЦКС ГДК",,234811.32
№32515210990,Оказание услуг по организации проживания и питания,,176400.0
№0343200010725000514,на поставку лекарственного(-ых) препарата(-ов) для медицинского применения,'252450102509945010100100491090000244',87843.0
№0130200001725000048,Поставка автохимии для служебного автотранспорта,'252352506658235250100100080010000244',179000.0
№32515211013,Поставка холодильника бытового ,,41606.0
№0130200001725000047,Оказание услуг по замене аккумуляторных батарей в источниках бесперебойного питания,'252352506658235250100100340019511242',400000.0
№0142300038325000079,Поставка мебели для оснащения ГБОУ ООШ пос. Верхняя Подстепновка муниципального района Волжский Самарской области,'253633005007163300100100410010000244',667093.79
№0130200001725000046,Поставка ресурсных расходных материалов для оргтехники,'252352506658235250100100040020000242',284140.0
№0130200001725000045,Поставка продукции радиоэлектронной промышленности: сервер,'252352506658235250100100020012620242',2500000.0
№0360600001825000064,поставка запасных частей для автотранспортных средств,'253645010440264500100100710012932244',500000.0
№0845600003825000062,Поставка имиджевой и подарочной продукции,'253470303586147030100100020040000000',2297891.0
№32515211002,"Запрос котировок в  электронной форме на поставку котла водогрейного КВр-0,58, участниками которого могут быть только субъекты малого и среднего предпринимательства",,613333.33
№0862600022125000020,кран шаровой,'253667701551766770100100430012814244',122260.0
№0130200001725000044,Оказание услуг по предоставлению лицензии на право использования программного обеспечения для организации видеоконференций,'252352506658235250100100160015829242',300000.0
№32515211000,Оказание услуги по техническому обслуживанию приборов учета тепловой энергии и воды,,42774.09
№1020200000725000017,"Оказание услуг по организации и проведению Краевого физкультурного мероприятия по Многоборью готов к труду и обороне ""Герой ГТО""",,9970000.0
№0367300047425000248,Устройство площадок для выгула собак,'253720603749472060100101260014399244',7289009.16
№32515210974,"выполнение ремонтных работ в здании ""Цех отцепочного ремонта грузовых и пассажирских вагонов жд станции ""Нижний Бестях""",,1503764.32
№0360600001825000063,Поставка краски автомобильной,'253645010440264500100100690012030244',28852.06
№0348300139625000325,Лекарственные препараты для медицинского применения (БОТУЛИНИЧЕСКИЙ ТОКСИН ТИПА А),'253501003629150100100104560012120244',1923600.0
№0301500001025000125,Поставка лекарственных препаратов для медицинского применения (Гонадотропин хорионический),'252027591301202750100101830012120244',612000.0
